Index,Questions,Answers
52,What is a doubly-linked list?,"It is a complex type (double-ended LL) of a linked list in which a node has two links, one that connects to the next node in the sequence and another that connects to the previous node. This allows traversal across the data elements in both directions. "
53,How do you reference all of the elements in a one-dimension array?,"Using an indexed loop, we may access all of the elements in a one-dimensional array. The counter counts down from 0 to the maximum array size, n, minus one. The loop counter is used as the array subscript to refer to all items of the one-dimensional array in succession."
54,What is an algorithm? ,An algorithm is a step by step method of solving a problem or manipulating data. It defines a set of instructions to be executed in a certain order to get the desired output. 
55,Why do we need to do an algorithm analysis?,A problem can be solved in more than one way using several solution algorithms. Algorithm analysis provides an estimation of the required resources of an algorithm to solve a specific computational problem. The amount of time and space resources required to execute is also determined.
56, What is a stack?,"A stack is an abstract data type that specifies a linear data structure, as in a real physical stack or piles where you can only take the top item off the stack in order to remove things. Thus, insertion (push) and deletion (pop) of items take place only at one end called top of the stack, with a particular order: LIFO (Last In First Out) or FILO (First In Last Out)."
57,What is a queue Data Structure?,"In this data structure interview question, you can also discuss your experience and situations using queue. A queue is an abstract data type that specifies a linear data structure or an ordered list,  using the First In First Out (FIFO) operation to access elements. Insert operations can be performed only at one end called REAR and delete operations can be performed only at the other end called FRONT. "
58, What is a Dequeue?,"t is a double-ended queue, or a data structure, where the elements can be inserted or deleted at both ends (FRONT and REAR)"
59,What are the advantages of the heap over a stack?,Heap is more flexible than the stack because memory space can be dynamically allocated and de-allocated as needed
60,How to convert stack into queue,"To enqueue an item into the queue, first move all elements from the first stack to the second stack, push the item into the first stack, and finally move all elements back to the first stack. This ensures that the new item lies at the bottom of the stack and hence would be the last one to be removed."
61,What is DBMS?,"Data Base Management System is a collection of programs that facilitates users to create and maintain a database. DBMS provides us an interface or tool for performing different operations such as the creation of a database, inserting data into it, deleting data from it, updating the data, etc."
62,What is a database?,"A Database is a logical, consistent and organized collection of data that it can easily be accessed, managed and updated"
63,What is Database system?,The collection of database and DBMS software together is known as a database system
64,"What are the advantages of DBMS?","Redundancy control , Restriction for unauthorized access , Provides multiple user interfaces , Provides backup and recovery , Enforces integrity constraints , Ensure data consistency"
65,What is RDBMS?,RDBMS stands for Relational Database Management Systems. It is used to maintain the data records and indices in tables.
66,How many types of database languages are?,"There are four types of database languages, 1. Data Definition Language (DDL) 2. Data Manipulation Language (DML) 3. DATA Control Language (DCL) 4. Transaction Control Language (TCL)"
67,"What do you understand by Data Model?","The Data model is specified as a collection of conceptual tools for describing data, data relationships, data semantics and constraints. "
68,Define a Relation Schema and a Relation.,A Relation Schema is specified as a set of attributes. It is also known as table schema. It defines what the name of the table is. Relation schema is known as the blueprint with the help of which we can explain that how the data is organized into tables. This blueprint contains no data . A relation is specified as a set of tuples. A relation is the set of related attributes with identifying key attributes
69,What is the Relationship?,The Relationship is defined as an association among two or more entities. There are three type of relationships in DBMS One-To-One: Here one record of any object can be related to one record of another object . One-To-Many (many-to-one): Here one record of any object can be related to many records of other object and vice versa . Many-to-many: Here more than one records of an object can be related to n number of records of another object.
70,What are the disadvantages of file processing systems?,"Inconsistent , Not secure , Data redundancy , Difficult in accessing data , Data isolation"
71,What is data abstraction in DBMS?,"Data abstraction in DBMS is a process of hiding irrelevant details from users. Because database systems are made of complex data structures so, it makes accessible the user interaction with the database."
72,What is DDL (Data Definition Language)?,"Data Definition Language (DDL) is a standard for commands which defines the different structures in a database. Most commonly DDL statements are CREATE, ALTER, and DROP. These commands are used for updating data into the database."
73,What is DML (Data Manipulation Language)?,"Data Manipulation Language (DML) is a language that enables the user to access or manipulate data as organized by the appropriate data model. For example- SELECT, UPDATE, INSERT, DELETE."
74,What is normalization?,"Normalization is a process of analysing the given relation schemas according to their functional dependencies. It is used to minimize redundancy and also used to minimize insertion, deletion and update distractions."
75,What is Denormalization?,Denormalization is the process of boosting up database performance and adding of redundant data which helps to get rid of complex data
76,What is the E-R model?,E-R model is a short name for the Entity-Relationship model. This model is based on the real world. It contains necessary objects (known as entities) and the relationship among these objects.
77,What is an entity?,The Entity is a set of attributes in a database. An entity can be a real-world object which physically exists in this world. All the entities have their attribute which in the real world considered as the characteristics of the object.
78,What is Weak Entity set?,An entity set that doesn't have sufficient attributes to form a primary key is referred to as a weak entity set. 
79,What is an attribute?,An attribute refers to a database component. It is used to describe the property of an entity. An attribute can be defined as the characteristics of the entity.
80,What is Data Independence?,"Data independence specifies that ""the application is independent of the storage structure and access strategy of data."" It makes you able to modify the schema definition at one level without altering the schema definition in the next higher level."
81,Can you list the three levels of abstraction.,Following are three levels of data abstraction Physical level: It is the lowest level of abstraction. It describes how data are stored. Logical level: It is the next higher level of abstraction. It describes what data are stored in the database and what relationship among those data View level: It is the highest level of data abstraction. It describes only part of the entire database.
82,What is Join?,The Join operation is one of the most useful activities in relational algebra. It is most commonly used way to combine information from two or more relations. A Join is always performed on the basis of the same or related column. Most complex queries of SQL involve JOIN command.
83,What is 1NF?,1NF is the First Normal Form. It is the simplest type of normalization that you can implement in a database. The primary objectives of 1NF are to Every column must have atomic single value To Remove duplicate columns from the same table Create separate tables for each group of related data and identify each row with a unique column
84,What is 2NF?,"2NF is the Second Normal Form. A table is said to be 2NF if it follows the following conditions The table is in 1NF firstly it is necessary that the table should follow the rules of 1NF Every non-prime attribute is fully functionally dependent on the primary key  every non-key attribute should be dependent on the primary key in such a way that if any key element is deleted, then even the non_key element will still be saved in the database."
85,What is 3NF?,3NF stands for Third Normal Form. A database is called in 3NF if it satisfies the following conditions It is in second normal form There is no transitive functional dependency.
86,What is BCNF?,"BCNF stands for Boyce-Codd Normal Form. It is an advanced version of 3NF, so it is also referred to as 3.5NF. BCNF is stricter than 3NF A table complies with BCNF if it satisfies the following conditions It is in 3NF For every functional dependency X->Y, X should be the super key of the table. It merely means that X cannot be a non-prime attribute if Y is a prime attribute."
87,Explain ACID properties,"ACID properties are some basic rules, which has to be satisfied by every transaction to preserve the integrity. These properties and rules are ATOMICITY Atomicity is more generally known as ?all or nothing rule.' Which implies all are considered as one unit, and they either run to completion or not executed at all CONSISTENCY  This property refers to the uniformity of the data. Consistency implies that the database is consistent before and after the transaction . ISOLATION This property states that the number of the ransaction can be executed concurrently without leading to the inconsistency of the database state DURABILITY This property ensures that once the transaction is committed it will be stored in the non-volatile memory and system crash can also not affect it anymore."
88,What is 2-Tier architecture?,"The 2-Tier architecture is the same as basic client-server. In the two-tier architecture, applications on the client end can directly communicate with the database at the server side."
89,What is the 3-Tier architecture?,"The 3-Tier architecture contains another layer between the client and server. Introduction of 3-tier architecture is for the ease of the users as it provides the GUI, which, make the system secure and much more accessible. In this architecture, the application on the client-end interacts with an application on the server which further communicates with the database system"
90,Describe the types of keys?,"There are following types of keys Primary key The Primary key is an attribute in a table that can uniquely identify each record in a table. It is compulsory for every table Candidate key: The Candidate key is an attribute or set of an attribute which can uniquely identify a tuple. The Primary key can be selected from these attributes Super key The Super key is a set of attributes which can uniquely identify a tuple. Super key is a superset of the candidate key. Foreign key The Foreign key is a primary key from one table, which has a relationship with another table. It acts as a cross-reference between tables."
91,Explain the main purpose of an operating system?,Operating systems exist for two main purposes. One is that it is designed to make sure a computer system performs well by managing its computational activities. Another is that it provides an environment for the development and execution of programs.
92,What is demand paging?,"Demand paging is referred when not all of a process’s pages are in the RAM, then the OS brings the missing(and required) pages from the disk into the RAM."
93,What are the advantages of a multiprocessor system?,"With an increased number of processors, there is a considerable increase in throughput. It can also save more money because they can share resources. Finally, overall reliability is increased as well."
94,What is kernel?,A kernel is the core of every operating system. It connects applications to the actual processing of data. It also manages all communications between software and hardware components to ensure usability and reliability.
95,What are real-time systems?,Real-time systems are used when rigid time requirements have been placed on the operation of a processor. It has well defined and fixed time constraints.
96,What is a virtual memory?,Virtual memory is a memory management technique for letting processes execute outside of memory. This is very useful especially is an executing program cannot fit in the physical memory.
97,Describe the objective of multiprogramming.,"The main objective of multiprogramming is to have a process running at all times. With this design, CPU utilization is said to be maximized."
98,What is SMP?,"SMP is a short form of Symmetric Multi-Processing. It is the most common type of multiple-processor systems. In this system, each processor runs an identical copy of the operating system, and these copies communicate with one another as needed"
99,What is a thread?,"A thread is a basic unit of CPU utilization. In general, a thread is composed of a thread ID, program counter, register set, and the stack"
100,Give some benefits of multithreaded programming.,"there is increased responsiveness to the user , resource sharing within the process , economy , utilization of multiprocessing architecture"
101,What is FCFS?,"FCFS stands for First-come, first-served. It is one type of scheduling algorithm. In this scheme, the process that requests the CPU first is allocated the CPU first. Implementation is managed by a FIFO queue."
102,What is RR scheduling algorithm?,"RR (round-robin) scheduling algorithm is primarily aimed for time-sharing systems. A circular queue is a setup in such a way that the CPU scheduler goes around that queue, allocating CPU to each process for a time interval of up to around 10 to 100 milliseconds"
103,What are necessary conditions which can lead to a deadlock situation in a system?,Deadlock situations occur when four conditions occur simultaneously in a system: Mutual exclusion; Hold and Wait; No preemption; and Circular wait
104,Describe Banker’s algorithm,Banker’s algorithm is one form of deadlock-avoidance in a system. It gets its name from a banking system wherein the bank never allocates available cash in such a way that it can no longer satisfy the needs of all of its customers
105, What factors determine whether a detection-algorithm must be utilized in a deadlock avoidance system?,One is that it depends on how often a deadlock is likely to occur under the implementation of this algorithm. The other has to do with how many processes will be affected by deadlock when this algorithm is applied
106,State the main difference between logical from physical address space.,"Logical address refers to the address that is generated by the CPU. On the other hand, physical address refers to the address that is seen by the memory unit"
107,What are overlays?,Overlays are used to enable a process to be larger than the amount of memory allocated to it. The basic idea of this is that only instructions and data that are needed at any given time are kept in memory
108,How does swapping result in better memory management?,"During regular intervals that are set by the operating system, processes can be copied from main memory to a backing store, and then copied back later. Swapping allows more operations to be run that can fit into memory at one time"
109,What is multitasking?,"Multitasking is the process within an operating system that allows the user to run several applications at the same time. However, only one application is active at a time for user interaction, although some applications can run “behind the scene”"
110,What is caching?,Caching is the processing of utilizing a region of fast memory for a limited data and process. A cache memory is usually much efficient because of its high access speed
111,What is spooling?,"Spooling is normally associated with printing. When different applications want to send an output to the printer at the same time, spooling takes all of these print jobs into a disk file and queues them accordingly to the printer"
112,What is an Assembler?,An assembler acts as a translator for low-level language. Assembly codes written using mnemonic commands are translated by the Assembler into machine language.
113,What are interrupts?,Interrupts are part of a hardware mechanism that sends a notification to the CPU when it wants to gain access to a particular resource. An interrupt handler receives this interrupt signal and “tells” the processor to take action based on the interrupt request.
114,What is preemptive multitasking?,"Preemptive multitasking allows an operating system to switch between software programs. This, in turn, allows multiple programs to run without necessarily taking complete control over the processor and resulting in system crashes."
115,What is plumbing/piping?,"It is the process of using the output of one program as an input to another. For example, instead of sending the listing of a folder or drive to the main screen, it can be piped and sent to a file, or sent to the printer to produce a hard copy"
116,What is NOS?,"NOS is short for Network Operating System. It is a specialized software that will allow a computer to communicate with other devices over the network, including file/folder sharing"
117,What is an operating system?,"It is a program that provides an interface between the software and hardware of a computer. In other words, an OS offers an environment for the user to execute software using hardware."
118,What is booting?,It is a procedure of turning on the computer by loading the kernel.
119,Define the 2 most popular types of kernels.,"Monolithic Kernel , MicroKernel"
120,What is a process?,A program in execution is known as a process.
121,What is a Link?,A link refers to the connectivity between two devices. It includes the type of cables and protocols used for one device to be able to communicate with the other.
122,What are the layers of the OSI reference model?,"There are 7 OSI layers: 1) Physical Layer, 2) Data Link Layer, 3) Network Layer, 4) Transport Layer, 5) Session Layer, 6) Presentation Layer, and 7) Application Layer."
123, What is a LAN?,LAN stands for Local Area Network. It refers to the connection between computers and other network devices that are located within a small physical location.
124,What is a node?,A node refers to a point or joint where a connection takes place. It can be a computer or device that is part of a network. Two or more nodes are needed to form a network connection.
125,What are routers?,"Routers can connect two or more network segments. These are intelligent network devices that store information in its routing tables, such as paths, hops, and bottlenecks. With this info, they can determine the best path for data transfer. Routers operate at the OSI Network Layer"
126,"What is a point to point link?",It refers to a direct connection between two computers on a network. A point to point connection does not need any other network devices other than connecting a cable to the NIC cards of both computers.
127,What is a subnet mask?,"A subnet mask is combined with an IP address to identify two parts: the extended network address and the host address. Like an IP address, a subnet mask is made up of 32 bits"
128,What is data encapsulation?,"Data encapsulation is the process of breaking down information into smaller, manageable chunks before it is transmitted across the network. In this process that the source and destination addresses are attached to the headers, along with parity checks"
129,Describe Network Topology,"Network Topology refers to the layout of a computer network. It shows how devices and cables are physically laid out, as well as how they connect"
130,What is a VPN?,"VPN means Virtual Private Network, a technology that allows a secure tunnel to be created across a network such as the Internet. For example, VPNs allow you to establish a secure dial-up connection to a remote server."
131,Briefly describe NAT,NAT is Network Address Translation. This is a protocol that provides a way for multiple computers on a common network to share a single connection to the Internet.
132,What is the job of the Network Layer under the OSI reference model?,"The Network layer is responsible for data routing, packet switching, and control of network congestion. Routers operate under this layer"
133,What are the different ways of securing a computer network?,There are several ways to do this. Install a reliable and updated anti-virus program on all computers. Make sure firewalls are setup and configured correctly. User authentication will also help a lot. All these combined would make a highly secured network
134,What is NIC?,NIC is short for Network Interface Card. This is a peripheral card that is attached to a PC in order to connect to a network. Every NIC has its own MAC address that identifies the PC on the network
135, What is WAN?,WAN stands for Wide Area Network. It is an interconnection of computers and devices that are geographically dispersed. It connects networks that are located in different regions and countries
136, What is the importance of the OSI Physical Layer?,"The physical layer does the conversion from data bits to the electrical signal, and vice versa. This is where network devices and cable types are considered and setup."
137,How many layers are there under TCP/IP?,"There are four layers: 1) The Network Layer, 2) Internet Layer, 3) Transport Layer, and 4) Application Layer."
138,"What are proxy servers, and how do they protect computer networks?","Proxy servers primarily prevent external users who are identifying the IP addresses of an internal network. Without knowledge of the correct IP address, even the physical location of the network cannot be identified. Proxy servers can make a network virtually invisible to external users"
139,What is the function of the OSI Session Layer?,"This layer provides the protocols and means for two devices on the network to communicate with each other by holding a session. This includes setting up the session, managing information exchange during the session, and tear-down process upon termination of the session."
140,What is a private IP address?,"Private IP addresses are assigned for use on intranets. These addresses are used for internal networks and are not routable on external public networks. These ensure that no conflicts are present among internal networks. At the same time, the same range of private IP addresses is reusable for multiple intranets since they do not “see”"
141,What is DoS?,"DoS, or Denial-of-Service attack, is an attempt to prevent users from being able to access the Internet or any other network services. Such attacks may come in different forms and are done by a group of perpetrators. One common method of doing this is to overload the system server so it cannot anymore process legitimate traffic and will be forced to reset"
142,"What is OSI, and what role does it play in computer networks?","OSI (Open Systems Interconnect) serves as a reference model for data communication. It is made up of 7 layers, with each layer defining a particular aspect of how network devices connect and communicate with one another. One layer may deal with the physical media used, while another layer dictates how data is transmitted across the network."
143,What is the purpose of cables being shielded and having twisted pairs?,The primary purpose of this is to prevent crosstalk. Crosstalk’s are electromagnetic interferences or noise that can affect data being transmitted across cables
144,What are MAC addresses?,"MAC, or Media Access Control, uniquely identifies a device on the network. It is also known as a physical address or an Ethernet address. A MAC address is made up of 6-byte parts."
145,What is the equivalent layer or layers of the TCP/IP Application layer in terms of the OSI reference model?,"The TCP/IP Application layer has three counterparts on the OSI model: 1) Session Layer, 2) Presentation Layer, and 3) Application Layer"
146,What are firewalls?,Firewalls serve to protect an internal network from external attacks. These external threats can be hackers who want to steal data or computer viruses that can wipe out data in an instant. It also prevents other users from external networks from gaining access to the private network
147,What are gateways?,Gateways provide connectivity between two or more network segments. It is usually a computer that runs the gateway software and provides translation services. This translation is key in allowing different systems to communicate on the network.
148,What is the disadvantage of a star topology?,"One major disadvantage of star topology is that once the central Hub or switch gets damaged, the entire network becomes unusable."
149,What is DHCP?,"DHCP is short for Dynamic Host Configuration Protocol. Its main task is to assign an IP address to devices across the network automatically. It first checks for the next available address not yet taken by any device, then assigns this to a network device."
150,What is the use of a default gateway?,Default gateways provide means for the local networks to connect to the external network. The default gateway for connecting to the external network is usually the address of the external router port.
